Number,Description,File_name,foodPic,ID,Location,Zipcode,Restaurant_Name,Offer_Delivery,Phone,Price,EatStreetAPIKey,Dietary,Type_of_meal,Genre,Class1,Class2,Class3,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39,Item40
1346,Roasted_Quail,Roasted_Quail.jpg,The_Farmhouse/Roasted_Quail.jpg,1346,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,,,,,,,silvas,edenaisechick,chese,burrito,greens,cheese,potatoes,bleu,tortilla,peas,blackbrown,hummus,pico,feta,roasted,quail,rice,flour,pea,,,,,,,,,,,,,,,,,,,,,
1347,Roasted_Quail,Roasted_Quail1.jpg,The_Farmhouse/Roasted_Quail1.jpg,1347,"4686 Broadway St Kansas City, MO 64112",64105,The_Farmhouse,0,8165696032,,,,,,,,,cuisine,gourmet,vegetables,dinner,roasted,quail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,Roasted_Tomato_Soup,Roasted_Tomato_Soup.jpg,Red_Door_Woodfired_Grill,1348,"8001 West 159th Street, Overland Park, KS 66223",66223,Red_Door_Woodfired_Grill,,9132763667,,,vegetarian,lunch,american,soup,appetizer,,tomato,cheese,elegant,soup,curds,tomatoes,roasted,basil,quail,seasonings,fried,bone,meaty,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,Roasted_Vegetable_and_Goat_Cheese_Flatbread,Roasted_Vegetable_and_Goat_Cheese_Flatbread.jpg,Cooper_s_Hawk/Roasted_Vegetable_and_Goat_Cheese_Flatbread.jpg,1349,"4686 Broadway St Kansas City, MO 64112",64112,Cooper_s_Hawk,0,8165311500,,,,,,,,,flatbread,cheese,vegetable,vegetables,soup,curd,roasted,basil,fried,goat,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,Rock_Lobster_Scrambler,Rock_Lobster_Scrambler.jpg,Le_Peep/Rock_Lobster_Scrambler.jpg,1350,"7218 College Blvd. Overland Park KS, 66210",66210,Le_Peep,1,9136619441,$10.29,11082080,Meat,breakfast,breakfast,breakfast,,,flatbread,dill,scrambler,cheese,potatoes,vegetables,roasted,eggs,lettuce,pizza,lobster,brie,rock,peppers,hollandaise,sauce,goat,tomatoes,bread,,,,,,,,,,,,,,,,,,,,,
1351,Rock_n_Roll,Rock_n_Roll.jpg,Friends_Sushi_and_Bento_Place/Rock_n_Roll.jpg,1351,"1808 W 39th St, Kansas City, MO 64111",64111,Friends_Sushi_and_Bento_Place,0,8167536666,,,,,,,,,dill,scrambler,potatoes,eggs,lobster,brie,rock,hollandaise,sauce,roll,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,Rocket_Mix_Salad,Rocket_Mix_Salad.jpg,Beer_Kitchen/Rocket_Mix_Salad.jpg,1352,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,vegetarian,lunch,american,salad,,,cheese,rocket,sushi,fennel,asian,soy,onions,mix,avokado,cranberries,croquette,sherry,goat,red,salmon,oranges,walnuts,salad,beets,roll,sesame,vinaigrette,,,,,,,,,,,,,,,,,,
1353,Rocky_Wrap,Rocky_Wrap.jpg,Muscle_Maker_Grill/Rocky_Wrap.jpg,1353,"14967 W 119th St Olathe KS, 66062",66062,Muscle_Maker_Grill,1,9135385253,$8.50,11997905,Meat,lunch,American,wrap,,,cheese,fennel,wrap,chicken,onions,turkey,beef,spinach,meatballs,beet,croquette,sherry,sauce,goat,red,cranberry,oranges,walnuts,marinara,mozzarella,rocky,salad,vinaigrette,tortilla,,,,,,,,,,,,,,,,
1354,Rocky_Wrap,Rocky_Wrap1.jpg,Muscle_Maker_Grill/Rocky_Wrap1.jpg,1354,"14967 W 119th St Olathe KS, 66062",66062,Muscle_Maker_Grill,1,9135385253,$8.50,11997905,Meat,Lunch,American,wrap,,,turkey,rocky,beef,spinach,meatballs,cucumbers,marinara,wrap,chicken,tortilla,sauce,mozzarella,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,Roman_Panini,Roman_Panini.jpg,Cupini_s/Roman_Panini.jpg,1355,"1809 Westport Rd Kansas City MO, 64111",64111,Cupini_s,1,8167537662,$5.99,9686663,Meat,Lunch,Italian,Sandwich,,,pepperoncini,lettuce,wrap,chicken,onions,turkey,ham,beef,provolone,meatballs,peppers,sauce,tomatoes,marinara,garlic,salami,mozzarella,aioli,cucumbers,roman,panini,tortilla,,,,,,,,,,,,,,,,,,
1356,Root_Veggie_Pot_Pie,Root_Veggie_Pot_Pie.jpg,Beer_Kitchen/Root_Veggie_Pot_Pie.jpg,1356,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,vegetarian,lunch,american,misc,,,kale,pepperoncini,pot,pie,lettuce,onions,butternut,veggie,ham,beef,provolone,vegetables,peppers,tomatoes,squash,peas,aioli,garlic,braised,salami,fontina,roman,panini,root,caramelized,,,,,,,,,,,,,,,
1357,Rosemary_Ham_and_Mozzarella_Piadina,Rosemary_Ham_and_Mozzarella_Piadina.jpg,Zoes_Kitchen/Rosemary_Ham_and_Mozzarella_Piadina.jpg,1357,"100 Ward Pkwy, Kansas City, MO 64112",64112,Zoes_Kitchen,0,8165312044,,,Meat,,,,,,flatbread,kale,pot,pie,piadina,onions,butternut,lemon,ham,vegetables,sandwich,peas,squash,aioli,braised,mozzarella,greens,root,fontina,vinaigrette,rosemary,caramelized,,,,,,,,,,,,,,,,,,
1358,Rubensalat,Rubensalat.jpg,Grunauer/Rubensalat.jpg,1358,"101 W 22nd St, Kansas City, MO 64108",64108,Grunauer,0,8162833234,,,,dinner,,,,,flatbread,cheese,sandwich,lemon,ham,beets,roasted,house,piadina,toasted,arugula,aioli,seeds,greens,vinaigrette,rubensalat,rosemary,mozzarella,pumpkin,,,,,,,,,,,,,,,,,,,,,
1359,Ruby_Red_Trout,Ruby_Red_Trout.jpg,The_Oliver/Ruby_Red_Trout.jpg,1359,"4807 Jefferson St, Kansas City, MO 64112",64112,The_Oliver,0,8163842500,,,Other,dessert,,,,,cheese,beets,farmers,house,slaw,rubensalat,spiced,charred,broccoli,arugula,collard,seeds,roastedpickled,roasted,trout,ruby,toasted,red,pumpkin,,,,,,,,,,,,,,,,,,,,,
1360,Rueben_Pizza,Rueben_Pizza.jpg,KC_Kitchen_and_Pizzeria/Rueben_Pizza.jpg,1360,"3906 Waddell Ave, Kansas City, MO 64111",64111,KC_Kitchen_and_Pizzeria,0,8165994533,,,,Lunch,,,,,slaw,spiced,reuben,charred,rueben,collard,louisiana,trout,ruby,broccoli,red,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,Rum_Apple_Pie,Rum_Apple_Pie.jpg,Crows_Coffee/Rum_Apple_Pie.jpg,1361,"304 E 51st St, Kansas City, MO 64112",64112,Crows_Coffee,0,8168207502,,,Vegetarian,Breakfast,Breakfast,breakfast,bakery,,snack,apple,pastrami,rum,german,sweet,thousand,pie,reuben,hot,apples,sauce,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,Rum_Cake,Rum_Cake.jpg,Andre_s_Confiserie_Suisse/Rum_Cake.jpg,1362,"5018 Main St, Kansas City, MO 64112",64112,Andre_s_Confiserie_Suisse,0,8165613440,,,,,,,,,apple,rum,sweet,pie,apples,cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,Rustic_Beet_Salad,Rustic_Beet_Salad.jpg,The_Mixx/Rustic_Beet_Salad.jpg,1363,"4855 Main Street, Kansas City, MO 64112",64112,The_Mixx,0,8167562300,,,vegetarian,dinner,,,,,slice,sprinkles,hickory,salad,rum,potatoes,roasted,frosted,rustic,tiered,almonds,beet,sweet,cake,beets,cheery,smoked,cream,,,,,,,,,,,,,,,,,,,,,,
1364,Rustic_Beet_Salad_add_Steak,Rustic_Beet_Salad_add_Steak.jpg,The_Mixx/Rustic_Beet_Salad_add_Steak.jpg,1364,"4855 Main Street, Kansas City, MO 64112",64112,The_Mixx,0,8167562300,,,vegetarian,breakfast,,,,,cheese,steak,tossed,salad,tarragon,spinach,sweet,vinaigrette,hickory,arugula,rustic,add,almonds,beet,shallots,roasted,beets,smoked,potatoes,goat,,,,,,,,,,,,,,,,,,,,
1365,Rustic_Lamb_Pita,Rustic_Lamb_Pita.jpg,Zoes_Kitchen/Rustic_Lamb_Pita.jpg,1365,"100 Ward Pkwy, Kansas City, MO 64112",64112,Zoes_Kitchen,0,8165312044,,,Meat,Other,,,,,lamb,cheese,tossed,tarragon,beef,spinach,salad,meatballs,relish,rustic,arugula,tzatziki,beet,shallots,vinaigrette,pita,salsa,cabbage,steak,goat,,,,,,,,,,,,,,,,,,,,
1366,Salad_of_the_Day_with_Charred_Broccoli,Salad_of_the_Day_with_Charred_Broccoli.jpg,The_Oliver/Salad_of_the_Day_with_Charred_Broccoli.jpg,1366,"4807 Jefferson St, Kansas City, MO 64112",64112,The_Oliver,0,8163842500,,,vegetarian,lunch,,,,,nuts,pickled,charred,lettuce,tzatziki,dried,macadamia,onions,lamb,beef,meatballs,broccoli,rustic,day,manchego,pear,salsa,cabbage,relish,salad,of,cider,apples,vinaigrette,pita,,,,,,,,,,,,,,,
1367,Salami_and_Pancetta_Panini,Salami_and_Pancetta_Panini.jpg,The_Sundry/Salami_and_Pancetta_Panini.jpg,1367,"300 E. 39th st. kansas city, mo 64111",64111,The_Sundry,0,8168447878,,,,,,,,,macadamia,manchego,apple,salad,cider,nut,pear,pickled,charred,salami,pancetta,panini,dried,vinaigrette,mixed,lettuces,nuts,onions,broccoli,lettucesmanchego,,,,,,,,,,,,,,,,,,,,
1368,Salmon_Deviled_Eggs,Salmon_Deviled_Eggs.jpg,Brady_s_Public_House/Salmon_Deviled_Eggs.jpg,1368,"5424 Troost Ave, Kansas City, MO 64110",64110,Brady_s_Public_House,0,8164379400,$6.00,,Meat,Dinner,American,Appetizer,,,bleu,cheese,salad,greens,deviled,eggs,carrots,salmon,bacon,cobb,radish,kale,edamame,corn,tomatoes,mustard,,,,,,,,,,,,,,,,,,,,,,,,
1369,Salmon_Benedict,Salmon_Benedict.jpg,Le_Peep/Salmon_Benedict.jpg,1369,"7218 College Blvd. Overland Park KS, 66210",66210,Le_Peep,1,9136619441,$11.79,11082092,Meat,breakfast,breakfast,breakfast,,,dill,cheese,benedict,potatoes,fish,english,salmon,lettuce,pancetta,panini,apples,muffin,grilled,salami,cream,chips,eggs,tomatoes,bread,,,,,,,,,,,,,,,,,,,,,
1370,Salmon_Benedict1,Salmon_Benedict1.jpg,Le_Peep/Salmon_Benedict1.jpg,1370,"7218 College Blvd. Overland Park KS, 66210",66210,Le_Peep,1,9136619441,$11.79,11082092,Meat,breakfast,breakfast,breakfast,,,dill,cheese,benedict,potatoes,fish,english,salmon,lettuce,apples,muffin,benedict1,muffins,eggs,tomatoes,cream,,,,,,,,,,,,,,,,,,,,,,,,,
1371,Salmon_Benny_Eggs_Benedict,Salmon_Benny_Eggs_Benedict.jpg,Beer_Kitchen/Salmon_Benny_Eggs_Benedict.jpg,1371,"435 Westport Rd, Kansas City, MO 64111",64111,Beer_Kitchen,0,8163894180,,,meat,breakfast,breakfast,breakfast,,,cheese,poached,dill,benedict,muffin,eggs,english,salmon,benny,lettuce,apples,potatoes,muffins,fish,tomatoes,cream,,,,,,,,,,,,,,,,,,,,,,,,
1372,Salmon_BLT,Salmon_BLT.jpg,Nick_and_Jake_s/Salmon_BLT.jpg,1372,"5031 Main St, Kansas City, MO 64112",64112,Nick_and_Jake_s,0,8164211111,,,Meat,lunch,,,,,cheese,poached,lettuce,benedict,muffin,eggs,salmon,benny,blt,brioche,bacon,english,swiss,mayonnaise,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,
1373,Salmon_BLT,Salmon_BLT1.jpg,Nick_and_Jake_s/Salmon_BLT1.jpg,1373,"5031 Main St, Kansas City, MO 64112",64112,Nick_and_Jake_s,0,8164211111,,,Meat,,,,,,cheese,brioche,salmon,bacon,lettuce,blt,swiss,mayonnaise,chipotle,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,Salmon_BLT,Salmon_BLT.jpg,Red_Door_Woodfired_Grill,1374,"8001 West 159th Street, Overland Park, KS 66223",66223,Red_Door_Woodfired_Grill,,9132763667,,,meat,lunch,american,sandwich,,,cheese,lettuce,bacon,fries,salmon,brioche,bun,blt,mayonnaise,chipotle,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375,Salmon_BLT,Salmon_BLT.jpg,The_Mixx/Salmon_BLT.jpg,1375,"4855 Main Street, Kansas City, MO 64112",64112,The_Mixx,0,8167562300,,,Meat,dinner,,,,,lemon,tarragon,bacon,fries,salmon,lettuce,atlantic,blt,grilled,bun,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1376,Salmon_BLT,Salmon_BLT1.jpg,The_Mixx/Salmon_BLT1.jpg,1376,"4855 Main Street, Kansas City, MO 64112",64112,The_Mixx,0,8167562300,,,vegetarian,lunch,,,,,lemon,tarragon,aioli,bacon,salmon,lettuce,bun,focaccia,blt,grilled,ettuce,tomatoes,atlantic,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,Salmon_Chowder,Salmon_Chowder.jpg,Cafe_Trio/Salmon_Chowder.jpg,1377,"4558 Main St, Kansas City, MO 64111",64111,Cafe_Trio,0,8167563227,,,Meat,dinner,,,,,oil,lemon,thyme,aioli,herb,gougeres,salmon,paprika,lettuce,bacon,chowder,bun,focaccia,blt,grilled,atlantic,tomatoes,,,,,,,,,,,,,,,,,,,,,,,
1378,Salmon_Chowder,Salmon_Chowder1.jpg,Cafe_Trio/Salmon_Chowder1.jpg,1378,"4558 Main St, Kansas City, MO 64111",64111,Cafe_Trio,0,8167563227,,,Meat,lunch,,,,,oil,thyme,herb,gougeres,salmon,paprika,herbs,chowder,fines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,Salmon_Cobb_Salad,Salmon_Cobb_Salad.jpg,Yard_House/Salmon_Cobb_Salad.jpg,1379,"1300 Main St Ste 124.1A, Kansas City, MO 64105",64105,Yard_House,0,8165270952,,,Other,dessert,,,,,cheese,chowder,kale,radish,carrots,bacon,blue,gougeres,cobb,eggs,tomatoes,edamame,oil,salad,herb,corn,salmon,herbs,greens,thyme,paprika,fines,,,,,,,,,,,,,,,,,,
1380,Salmon_Filet,Salmon_Filet.jpg,Q39_Midtown/Salmon_Filet.jpg,1380,"1000 W 39th St, Kansas City, MO 64111",64111,Q39_Midtown,0,8162553753,$23.00,,Meat,Dinner,American,Meats,,,cilantro,mustard,deviled,filet,glaze,fish,vegetables,salmon,fillet,jalapenos,slaw,eggs,bbq,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381,Salmon_Kabobs,Salmon_Kabobs.jpg,Zoes_Kitchen/Salmon_Kabobs.jpg,1381,"100 Ward Pkwy, Kansas City, MO 64112",64112,Zoes_Kitchen,0,8165312044,,,Meat,lunch,,,,,cilantro,filet,salmon,fish,glaze,jalapenos,bbq,slaw,kabob,vegetables,kabobs,zucchini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,Salmon_Roulade,Salmon_Roulade.jpg,Cafe_Trio/Salmon_Roulade.jpg,1382,"4558 Main St, Kansas City, MO 64111",64111,Cafe_Trio,0,8167563227,,,Meat,breakfast,,,,,cheese,lemon,roulade,spinach,eggs,salmon,powdered,black,sea,parmesan,peppers,cream,kabob,zucchini,,,,,,,,,,,,,,,,,,,,,,,,,,
1383,Salmon_Roulade,Salmon_Roulade1.jpg,Cafe_Trio/Salmon_Roulade1.jpg,1383,"4558 Main St, Kansas City, MO 64111",64111,Cafe_Trio,0,8167563227,,,vegetarian,breakfast,,,,,cheese,lemon,roulade,spinach,eggs,salmon,powdered,black,sea,parmesan,peppers,salt,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,Salt_and_Pepper_Brisket,Salt_and_Pepper_Brisket.jpg,West_Bottoms_Kitchen_KC/Salt_and_Pepper_Brisket.jpg,1384,"1623 Genessee St, Kansas City, MO 64102",64102,West_Bottoms_Kitchen_KC,0,8168789694,,,Meat,lunch,,,,,cheese,pepper,slow,lemon,roulade,beef,spinach,roasted,eggs,brisket,salmon,tenders,powdered,marbled,black,sea,parmesan,peppers,salt,cream,,,,,,,,,,,,,,,,,,,,
1385,Salted_Toffee_Pretzel_Cookie,Salted_Toffee_Pretzel_Cookie.jpg,Schlotzsky_s/Salted_Toffee_Pretzel_Cookie.jpg,1385,"12221 S Strangline Rd Olathe KS, 66062",66062,Schlotzsky_s,1,9137822867,$0.50,11100466,vegetarian,dessert,dessert,dessert,,,cookies,slow,salted,beef,sweet,brisket,pretzel,tenders,marbled,cookie,roasted,peppers,toffee,pretzels,,,,,,,,,,,,,,,,,,,,,,,,,,
1386,Sam_Sun_Dumplings,Sam_Sun_Dumplings.jpg,Sichuan_Dynasty/Sam_Sun_Dumplings.jpg,1386,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$7.50,12003411,meat,Dinner,asian,appetizer,,,pork,salted,sam,dumplings,sun,eggs,chives,shrimp,cookie,sweet,toffee,pretzels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,Santa_Fe_Chicken_Salad,Santa_Fe_Chicken_Salad.jpg,The_Mixx/Santa_Fe_Chicken_Salad.jpg,1387,"4855 Main Street, Kansas City, MO 64112",64112,The_Mixx,0,8167562300,,,Meat,lunch,,,,,pork,strips,sam,salad,dumplings,sun,corn,carrots,chives,shrimp,black,breast,santa,roasted,grilled,beans,chicken,tortilla,eggs,fe,,,,,,,,,,,,,,,,,,,,
1388,Santa_Fe_Chicken_Salad,Santa_Fe_Chicken_Salad1.jpg,The_Mixx/Santa_Fe_Chicken_Salad1.jpg,1388,"4855 Main Street, Kansas City, MO 64112",64112,The_Mixx,0,8167562300,,,vegetarian,lunch,,,,,strips,salad,lime,fire,corn,carrots,fresco,jalapenos,beans,fe,santa,vinaigrette,grilled,black,roasted,tortilla,chicken,breast,,,,,,,,,,,,,,,,,,,,,,
1389,Santa_Fe_Wrap,Santa_Fe_Wrap.jpg,Muscle_Maker_Grill/Santa_Fe_Wrap.jpg,1389,"14967 W 119th St Olathe KS, 66062",66062,Muscle_Maker_Grill,1,9135385253,$8.50,11997914,Meat,lunch,American,wrap,,,turkey,cheese,rice,salad,cheddar,corn,roasted,fresco,jalapenos,lettuce,bacon,beans,fe,santa,vinaigrette,wrap,black,chicken,tortilla,sauce,lime,,,,,,,,,,,,,,,,,,,
1390,Santa_Fe_Wrap,Santa_Fe_Wrap1.jpg,Muscle_Maker_Grill/Santa_Fe_Wrap1.jpg,1390,"14967 W 119th St Olathe KS, 66062",66062,Muscle_Maker_Grill,1,9135385253,$8.50,11997914,Meat,lunch,American,wrap,,,turkey,cheese,rice,cheddar,bacon,lettuce,beans,fe,santa,wrap,chicken,tortilla,sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,Santa_Fe_Wrap,Santa_Fe_Wrap2.jpg,Muscle_Maker_Grill/Santa_Fe_Wrap2.jpg,1391,"14967 W 119th St Olathe KS, 66062",66062,Muscle_Maker_Grill,1,9135385253,$8.50,11997914,Meat,lunch,American,wrap,,,turkey,cheese,rice,cheddar,bacon,lettuce,beans,fe,santa,dressing,wrap,chicken,tortilla,sauce,,,,,,,,,,,,,,,,,,,,,,,,,,
1392,Sashimi_Sampler,Sashimi_Sampler.jpg,Domo/Sashimi_Sampler.jpg,1392,"6322 Brookside Plaza, Kansas City, MO 64113",64113,Domo,0,8163336315,,,,sushi,,,,,turkey,cheese,rice,cheddar,sampler,bacon,sashimi,lettuce,beans,fe,santa,dressing,wrap,chicken,tortilla,sauce,,,,,,,,,,,,,,,,,,,,,,,,
1393,Sausage_and_Fennel_Ravioli,Sausage_and_Fennel_Ravioli.jpg,Cupini_s/Sausage_and_Fennel_Ravioli.jpg,1393,"1809 Westport Rd Kansas City MO, 64111",64111,Cupini_s,1,8167537662,$9.25,9686644,Meat,Dinner,italian,pasta,,,sausage,herb,fish,sushi,fennel,sashimi,prosciutto,ravioli,sampler,leaves,sauce,seafood,wasabi,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,Sausage_and_Pepper_Pasta,Sausage_and_Pepper_Pasta.jpg,Osteria_Il_Centro/Sausage_and_Pepper_Pasta.jpg,1394,"5101 Main St Kansas City, MO 64112",64112,Osteria_Il_Centro,0,8165612369,,,Meat,dinner,,,,,sausage,herb,pasta,prosciutto,pepper,herbs,fennel,penne,peppers,onions,ravioli,tomatoes,sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,
1395,Sausage_and_Pepper_Pasta,Sausage_and_Pepper_Pasta1.jpg,Osteria_Il_Centro/Sausage_and_Pepper_Pasta1.jpg,1395,"5101 Main St Kansas City, MO 64112",64112,Osteria_Il_Centro,0,8165612369,,,Meat,Other,,,,,sausage,sauce,pepper,pasta,penne,peppers,onions,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396,Sausage_Duo,Sausage_Duo.jpg,Grunauer/Sausage_Duo.jpg,1396,"101 W 22nd St, Kansas City, MO 64108",64108,Grunauer,0,8162833234,,,,,,,,,sausage,sauerkraut,duo,sauce,pasta,penne,peppers,onions,tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397,Sausage_Duo,Sausage_Duo1.jpg,Grunauer/Sausage_Duo1.jpg,1397,"101 W 22nd St, Kansas City, MO 64108",64108,Grunauer,0,8162833234,,,,dinner,,,,,sausage,sauerkraut,duo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1398,Sauteed_Grean_Beans_Sichuan_Style,Sauteed_Grean_Beans_Sichuan_Style.jpg,Sichuan_Dynasty/Sauteed_Grean_Beans_Sichuan_Style.jpg,1398,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$9.99,12003783,vegan,Dinner,asian,vegetable,appetizer,,sauteed,sausage,sauerkraut,chiles,sichuan,green,grean,beans,sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,Sautéed_Mixed_Vegetables_All_Day_Combo_Dinner,Sauteed_Mixed_Vegetables.jpg,China_One_Express/Sauteed_Mixed_Vegetables.jpg,1399,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$8.75,6818167,Vegan,Dinner,Chinese,Vegetables,,,sauteed,cauliflower,chilis,corn,carrots,sautÃ©ed,peas,broccoli,sichuan,dinner,green,sautÃƒÆ’Ã‚Â©ed,combo,mixed,beans,sauce,vegetables,day,,,,,,,,,,,,,,,,,,,,,,
1400,Sautéed_Mixed_Vegetables_Lunch_Special,Sauteed_Mixed_Vegetables.jpg,China_One_Express/Sauteed_Mixed_Vegetables.jpg,1400,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$6.45,9196179,Vegan,Lunch,Chinese,Vegetables,,,sauteed,cauliflower,corn,carrots,sautÃ©ed,peas,broccoli,lunch,dinner,sautÃƒÆ’Ã‚Â©ed,mixed,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,Sauteed_Sliced_Lotus_Roots,Sauteed_Sliced_Lotus_Roots.jpg,Sichuan_Dynasty/Sauteed_Sliced_Lotus_Roots.jpg,1401,"7206 West 119th Street Overland Park, 66213",66213,Sichuan_Dynasty,1,9133399378,$10.99,,vegan,Dinner,asian,vegetable,appetizer,,sauteed,butter,gravy,slice,hoppin,lotus,johns,irish,redeye,shrimp,sliced,whipped,grits,root,cornbread,roots,tasos,,,,,,,,,,,,,,,,,,,,,,,
1402,Sauteed_Shrimp_and_Grits,Sauteed_Shrimp_and_Grits.jpg,The_Brass_Onion/Sauteed_Shrimp_and_Grits.jpg,1402,"5501 W 135th St, Overland Park, KS 66224",66224,The_Brass_Onion,0,9138515940,,,Meat,lunch,,,,,sauteed,gravy,cauliflower,buttered,corn,carrots,peas,redeye,shrimp,lunch,whipped,grits,broccoli,tasos,vegetables,irish,cornbread,,,,,,,,,,,,,,,,,,,,,,,
1403,Scallops,Scallops.jpg,Gram and Dun/Scallops.jpg,1403,"600 Ward Pkwy Kansas City, MO 64112",64112,Gram and Dun,0,8163892900,,,,,,,,,sauteed,slice,lotus,scallops,root,roots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404,Schnitzel_a_la_Grunauer,Schnitzel_a_la_Grunauer.jpg,Grunauer/Schnitzel_a_la_Grunauer.jpg,1404,"101 W 22nd St, Kansas City, MO 64108",64108,Grunauer,0,8162833234,,,,dessert,,,,,butter,breaded,lemon,spinach,potatoes,chefs,la,pork,mashed,grunauer,cutlet,schnitzel,scallops,seafood,cream,,,,,,,,,,,,,,,,,,,,,,,,,
1405,Schnitzel_a_la_Holstein,Schnitzel_a_la_Holstein.jpg,Grunauer/Schnitzel_a_la_Holstein.jpg,1405,"101 W 22nd St, Kansas City, MO 64108",64108,Grunauer,0,8162833234,,,,lunch,,,,,caper,pork,grunauer,salad,spinach,potatoes,eggs,la,creamed,cucumbers,anchovies,mashed,cutlet,holstein,breaded,fried,schnitzel,,,,,,,,,,,,,,,,,,,,,,,
1406,Schweinebraten,Schweinebraten.jpg,Grunauer/Schweinebraten.jpg,1406,"101 W 22nd St, Kansas City, MO 64108",64108,Grunauer,0,8162833234,,,Meat,dinner,german,,,,shoulder,pork,cucumer,salad,schnitzel,dumplings,potatoes,eggs,schweinebraten,anchovies,loin,roasted,holstein,cabbage,fried,sauce,capers,bread,,,,,,,,,,,,,,,,,,,,,,
1407,Schweinebraten,Schweinebraten1.jpg,Grunauer/Schweinebraten1.jpg,1407,"101 W 22nd St, Kansas City, MO 64108",64108,Grunauer,0,8162833234,,,Meat,dinner,german,,,,shoulder,pork,dumplings,loin,roasted,schweinebraten,cabbage,sauce,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,Schweinebraten,Schweinebraten2.jpg,Grunauer/Schweinebraten2.jpg,1408,"101 W 22nd St, Kansas City, MO 64108",64108,Grunauer,0,8162833234,,,Meat,dinner,german,,,,shoulder,pork,dumplings,loin,roasted,schweinebraten,cabbage,sauce,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409,Scottish_Wild_Isles_Salmon,Scottish_Wild_Isles_Salmon.jpg,McCormick_and_Schmick_s_Seafood_and_Steaks/Scottish_Wild_Isles_Salmon.jpg,1409,"448 W 47th St, Kansas City, MO 64112",64112,McCormick_and_Schmick_s_Seafood_and_Steaks,0,8165316800,,,meat,Other,,,,,shoulder,pork,dumplings,roasted,salmon,wild,loin,scottish,schweinebraten,cabbage,sauce,isles,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,Seafood_Delight,Seafood_Delight.jpg,China_One_Express/Seafood_Delight.jpg,1410,"11176 Antioch Rd, Overland Park, KS 66210",66210,China_One_Express,1,9134515959,$13.50,6813127,Meat,Dinner,Chinese,Seafood,,,steamed,carrots,lobster,scottish,onions,crab,peppers,scallops,sauce,red,corn,salmon,peas,delight,asparagus,potatoes,seafood,shrimp,healthy,wild,baked,wine,,,,,,,,,,,,,,,,,,
